Query,Iteraci�,tiempoSD ,tiempoCD ,energySD ,energyCD
19,3,1041.973,989.492,901.608,869.69
19,4,1052.535,1033.141,923.912,873.709
19,5,1028.936,1006.531,884.644,861.04
19,6,1016.424,997.507,866.497,869.274
19,7,1018.776,1044.041,875.779,805.053
19,8,1015.381,1029.371,925.656,801.453
19,9,1027.951,1000.465,888.618,802.436
19,10,1022.785,985.663,901.527,797.107
20,1,926.709,50.113,835.728,85.61
20,2,615.409,24.371,690.534,91.787
20,3,607.594,23.649,687.169,55.345
20,4,604.377,25.813,678.788,96.789
20,5,602.023,23.596,658.403,53.338
20,6,607.194,24.843,682.964,74.266
20,7,597.014,24.517,666.524,84.818
20,8,610.358,24.097,686.025,68.035
20,9,609.463,23.937,692.946,72.79
20,10,604.398,23.508,674.121,54.227
21,2,2.15,1.225,3.058,1.332
21,3,2.114,1.152,2.778,1.004
21,4,2.266,1.279,4.246,2.864
21,5,2.542,1.125,11.934,0.91
21,6,2.174,1.131,2.483,0.986
21,8,2.008,1.151,1.858,0.936
21,9,2.098,1.107,3.739,0.957
21,10,2.005,1.463,1.64,3.301
22,1,3600,683.124,"3,378.77","1,801.30"
22,2,3600,652.093,"3,378.77","1,548.43"
22,3,3600,661.761,"3,378.77","1,473.58"
22,4,3600,657.659,"3,378.77","1,437.34"
22,5,3600,663.511,"3,378.77","1,663.54"
22,6,3600,661.071,"3,378.77","1,513.89"
22,7,3600,685.417,"3,378.77","1,533.71"
22,8,3600,678.325,"3,378.77","1,486.30"
22,9,3600,661.133,"3,378.77","1,670.22"
22,10,3600,655.47,"3,378.77","1,477.70"
23,1,1.254,0.871,1.253,0.781
23,2,0.791,0.803,0.66,0.644
23,3,0.797,0.806,0.818,0.997
23,4,0.806,0.757,0.72,0.6
23,5,0.882,0.777,0.817,0.806
23,6,0.788,0.756,0.766,0.797
23,7,0.771,0.766,0.636,0.619
23,8,0.746,0.744,0.687,0.631
23,9,0.751,0.753,0.566,0.658
23,10,0.744,0.9,0.57,0.172
24,2,130.424,84.013,169.948,81.501
24,3,113.27,81.606,164.384,82.061
24,4,115.223,77.958,142.404,77.171
24,5,114.948,79.882,189.579,78.854
24,6,119.721,77.568,212.696,76.987
24,7,113.979,79.72,180.324,80.439
24,8,108.379,79.431,129.783,83.026
24,9,110.811,77.756,109.088,81.766
24,10,110.793,78.137,108.334,78.653
25,2,9.225,0.395,9.088,1.102
25,3,9.297,0.373,8.519,0.987
25,4,10.837,0.387,11.749,0.678
25,5,9.546,0.351,8.834,0.428
25,6,9.067,0.366,8.301,0.385
25,7,8.987,0.361,8.085,0.697
25,8,10.456,0.394,10.396,0.933
25,9,10.354,0.363,10.777,0.845
25,10,10.477,0.348,9.495,0.518
